sample1	sample2	baf_correlation	mean_segment_concordance	overall_concordance	concordance_quality	sampleID
35M3	35X1	0.999987786531863	0.967572046177202	0.983779916354533	Excellent	35
35M3	35X5	0.99998175335083	0.965275031085812	0.982628392218321	Excellent	35
36M6	36X4	1	0.967858206061028	0.983929103030514	Excellent	36
36M6	36X2	0.999998456504334	0.977375282520618	0.988686869512476	Excellent	36
36M5	36X2	0.999996913560506	0.972565893547117	0.986281403553811	Excellent	36
36M5	36X4	1	0.961688243560427	0.980844121780214	Excellent	36
37M4	37X1	0.999996958684292	0.987447616185217	0.993722287434755	Excellent	37
37M7	37X1	0.999984779227413	0.962014496327447	0.98099963777743	Excellent	37
37M4	37X7	0.999993912513504	0.966652228215711	0.983323070364607	Excellent	37
37M7	37X7	0.999981721106775	0.964672285896211	0.982327003501493	Excellent	37
