ProbeID	Mean	SD	NBeads
1600107	4705	849	32
1600131	4882	774	14
1600143	2373	574	26
1600165	4798	424	10
1600167	6148	1174	24
1600175	3470	688	14
1600185	9358	1639	24
1600187	8598	1125	20
1600197	9130	1681	20
