ProbeID	Mean	SD	NBeads
1600107	4572	800	28
1600131	5832	336	10
1600143	2789	761	24
1600165	5407	1248	18
1600167	6770	960	20
1600175	3554	878	24
1600185	10005	1892	36
1600187	9245	1143	38
1600197	9632	673	22
